"genome","phage_type"
"141","lytic"
"Aergia","lytic"
"P70","lytic"
"P71","lytic"
"P72","lytic"
"P75","lytic"
"P113","lytic"
"P161","lytic"
"P162","lytic"
"P173","lytic"
"P176","lytic"
"P211","lytic"
"P212","lytic"
"P213","lytic"
"P214L","lytic"
"P215","lytic"
"P216L","lytic"
"P217L","lytic"
"P252","lytic"
"P254","lytic"
"P272","lytic"
"P274","lytic"
"P275","lytic"
"P276","lytic"
"P277","lytic"
"P278","lytic"
"P279","lytic"
"P280","lytic"
"P281","lytic"
"P283","lytic"
"P284","lytic"
"P285","lytic"
"P286","lytic"
"P287","lytic"
"Cassandra","lytic"
"DMS3","lytic"
"Deifobo","lytic"
"Ettore","lytic"
"LMA2","lytic"
"PA10P1","lytic"
"PA10P2","lytic"
"PA11P2","lytic"
"PA12P1","lytic"
"PA14P2","lytic"
"PA1P1","lytic"
"PA1P2","lytic"
"PA1P5","lytic"
"PA2P1","lytic"
"PA2P2","lytic"
"PA5P1","lytic"
"PA5P2","lytic"
"PA7P2","lytic"
"PA8P2","lytic"
"PMN","lytic"
"Paride","lytic"
"UT1","lytic"
"Victoria","lytic"
"phiKZ","lytic"
"phiKZ_2","lytic"
"101","temperate"
"11","temperate"
"14c","temperate"
"14t","temperate"
"27","temperate"
"3","temperate"
"32","temperate"
"35","temperate"
"37","temperate"
"43","temperate"
"5","temperate"
"68","temperate"
"8","temperate"
"B1A7","temperate"
"B1A9","temperate"
"B1B1b","temperate"
"B1B7","temperate"
"B1C3","temperate"
"B1C6","temperate"
"B1C8","temperate"
"B1D3","temperate"
"B1E2","temperate"
"B1E5","temperate"
"B1H2s","temperate"
"B2A9","temperate"
"B2B12","temperate"
"B2B9","temperate"
"B2C10","temperate"
"B2C9","temperate"
"B2D10","temperate"
"B2D3","temperate"
"B2D6","temperate"
"B2E7P","temperate"
"B2F12","temperate"
"B2F2","temperate"
"B2F4","temperate"
"B2G2","temperate"
"B2G8","temperate"
"B2H12","temperate"
"B3A1","temperate"
"B3A5","temperate"
"B3A6","temperate"
"B3A9","temperate"
"B3B1","temperate"
"B3B3","temperate"
"B3B5b","temperate"
"B3B5s","temperate"
"B3C1","temperate"
"B3C11","temperate"
"B3C4","temperate"
"B3D4","temperate"
"B3E7","temperate"
"B3F6","temperate"
"B3F9","temperate"
"B3G4","temperate"
"B3H1b","temperate"
"B3H1s","temperate"
"B4C11","temperate"
"B4C2","temperate"
"B4C4s","temperate"
"B4C5b","temperate"
"B4C5s","temperate"
"B4C7","temperate"
"B4C8c","temperate"
"B4C8h","temperate"
"D12","temperate"
"D6","temperate"
"D8","temperate"
"E8","temperate"
"E9","temperate"
"F2","temperate"
"F3","temperate"
"G11","temperate"
"K2B6","temperate"
"K2B8","temperate"
"K2C12","temperate"
"K2C5","temperate"
"K2C7c","temperate"
"K2C7t","temperate"
"K2C8","temperate"
"K2D5","temperate"
"K2G12","temperate"
"K6A8","temperate"
"K6G2","temperate"
"K7A8c","temperate"
"K7A8h","temperate"
"K7B12c","temperate"
"K7B12h","temperate"
"Pil39","temperate"
"Pil3t","temperate"
"PilZ13","temperate"
"PilZ14","temperate"
"PilZ15","temperate"
"PilZ1c","temperate"
"PilZ24","temperate"
"PilZ25","temperate"
"PilZ27","temperate"
"PilZ28","temperate"
"PilZ31","temperate"
"PilZ3c","temperate"
"PilZ41","temperate"
"PilZ5","temperate"
"ThaiE2","temperate"
"UTIA11","temperate"
